granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230102T133149Z_20231221T071723Z_S2B_30_v1_VEG-DIST-STATUS,20230102,2023-12-21 07:17:23,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230104T133155Z_20231221T071734Z_L9_30_v1_VEG-DIST-STATUS,20230104,2023-12-21 07:17:34,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230105T132542Z_20231221T071749Z_L8_30_v1_VEG-DIST-STATUS,20230105,2023-12-21 07:17:49,1,17,42,59,17,17,20230105,1,1,735,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230105T133829Z_20231221T071803Z_S2B_30_v1_VEG-DIST-STATUS,20230105,2023-12-21 07:18:03,1,255,255,59,17,17,20230105,1,1,735,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230107T133151Z_20231221T071819Z_S2A_30_v1_VEG-DIST-STATUS,20230107,2023-12-21 07:18:19,2,25,34,59,25,84,20230105,2,3,737,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230110T133831Z_20231221T071834Z_S2A_30_v1_VEG-DIST-STATUS,20230110,2023-12-21 07:18:34,2,255,255,59,25,84,20230105,2,3,737,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230112T133139Z_20231221T071850Z_S2B_30_v1_VEG-DIST-STATUS,20230112,2023-12-21 07:18:50,2,32,27,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230112T133149Z_20231221T071905Z_L8_30_v1_VEG-DIST-STATUS,20230112,2023-12-21 07:19:05,2,255,255,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230115T133829Z_20231221T071921Z_S2B_30_v1_VEG-DIST-STATUS,20230115,2023-12-21 07:19:21,2,255,255,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230117T133141Z_20231221T071938Z_S2A_30_v1_VEG-DIST-STATUS,20230117,2023-12-21 07:19:38,2,255,255,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230120T133831Z_20231221T071954Z_S2A_30_v1_VEG-DIST-STATUS,20230120,2023-12-21 07:19:54,2,255,255,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230121T132537Z_20231221T072010Z_L8_30_v1_VEG-DIST-STATUS,20230121,2023-12-21 07:20:10,2,255,255,59,32,222,20230105,3,8,742,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230122T133149Z_20231221T072026Z_S2B_30_v1_VEG-DIST-STATUS,20230122,2023-12-21 07:20:26,2,21,38,59,32,380,20230105,4,18,752,0,13,0,0,NA,0,0,752
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230125T133839Z_20231221T072041Z_S2B_30_v1_VEG-DIST-STATUS,20230125,2023-12-21 07:20:41,2,255,255,59,32,380,20230105,4,18,752,0,-1,0,0,NA,0,0,752
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230127T133141Z_20231221T072056Z_S2A_30_v1_VEG-DIST-STATUS,20230127,2023-12-21 07:20:56,3,28,31,59,32,615,20230105,5,23,757,0,10,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230129T132543Z_20231221T072110Z_L9_30_v1_VEG-DIST-STATUS,20230129,2023-12-21 07:21:10,3,255,255,59,32,615,20230105,5,23,757,0,-1,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230130T133831Z_20231221T072125Z_S2A_30_v1_VEG-DIST-STATUS,20230130,2023-12-21 07:21:25,3,255,255,59,32,615,20230105,5,23,757,0,-1,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230201T133149Z_20231221T072143Z_S2B_30_v1_VEG-DIST-STATUS,20230201,2023-12-21 07:21:43,3,255,255,59,32,615,20230105,5,23,757,0,-1,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230204T133829Z_20231221T072201Z_S2B_30_v1_VEG-DIST-STATUS,20230204,2023-12-21 07:22:01,3,255,255,59,32,615,20230105,5,23,757,0,-1,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230205T133158Z_20231221T072218Z_L9_30_v1_VEG-DIST-STATUS,20230205,2023-12-21 07:22:18,3,255,255,59,32,615,20230105,5,23,757,0,-1,0,0,NA,0,0,757
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230206T132539Z_20231221T072241Z_L8_30_v1_VEG-DIST-STATUS,20230206,2023-12-21 07:22:41,6,51,43,94,51,1044,20230105,6,33,767,1,26,26,26,20230206,1,1,767
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230206T133151Z_20231221T072305Z_S2A_30_v1_VEG-DIST-STATUS,20230206,2023-12-21 07:23:05,6,49,45,94,51,1561,20230105,7,33,767,1,27,27,106,20230206,2,1,767
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230209T133831Z_20231221T072328Z_S2A_30_v1_VEG-DIST-STATUS,20230209,2023-12-21 07:23:28,6,255,255,94,51,1561,20230105,7,33,767,1,-1,27,106,20230206,2,1,767
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230211T133149Z_20231221T072352Z_S2B_30_v1_VEG-DIST-STATUS,20230211,2023-12-21 07:23:52,6,47,47,94,51,2160,20230105,8,38,772,2,20,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230213T133145Z_20231221T072415Z_L8_30_v1_VEG-DIST-STATUS,20230213,2023-12-21 07:24:15,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230214T132545Z_20231221T072438Z_L9_30_v1_VEG-DIST-STATUS,20230214,2023-12-21 07:24:38,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230214T133839Z_20231221T072500Z_S2B_30_v1_VEG-DIST-STATUS,20230214,2023-12-21 07:25:00,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230216T133141Z_20231221T072523Z_S2A_30_v1_VEG-DIST-STATUS,20230216,2023-12-21 07:25:23,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230219T133831Z_20231221T072547Z_S2A_30_v1_VEG-DIST-STATUS,20230219,2023-12-21 07:25:47,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230221T133147Z_20231221T072610Z_L9_30_v1_VEG-DIST-STATUS,20230221,2023-12-21 07:26:10,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230221T133149Z_20231221T072633Z_S2B_30_v1_VEG-DIST-STATUS,20230221,2023-12-21 07:26:33,6,255,255,94,51,2160,20230105,8,38,772,2,-1,27,219,20230206,3,6,772
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230222T132524Z_20231221T072658Z_L8_30_v1_VEG-DIST-STATUS,20230222,2023-12-21 07:26:58,6,24,72,94,51,2646,20230105,9,49,783,3,32,32,420,20230206,4,17,783
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230226T133141Z_20231221T072720Z_S2A_30_v1_VEG-DIST-STATUS,20230226,2023-12-21 07:27:20,6,24,72,94,51,3180,20230105,10,53,787,3,22,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230301T133131Z_20231221T072742Z_L8_30_v1_VEG-DIST-STATUS,20230301,2023-12-21 07:27:42,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230301T133831Z_20231221T072803Z_S2A_30_v1_VEG-DIST-STATUS,20230301,2023-12-21 07:28:03,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230302T132532Z_20231221T072824Z_L9_30_v1_VEG-DIST-STATUS,20230302,2023-12-21 07:28:24,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230303T133149Z_20231221T072846Z_S2B_30_v1_VEG-DIST-STATUS,20230303,2023-12-21 07:28:46,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230306T133839Z_20231221T072907Z_S2B_30_v1_VEG-DIST-STATUS,20230306,2023-12-21 07:29:07,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230308T133141Z_20231221T072928Z_S2A_30_v1_VEG-DIST-STATUS,20230308,2023-12-21 07:29:28,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230309T133136Z_20231221T072949Z_L9_30_v1_VEG-DIST-STATUS,20230309,2023-12-21 07:29:49,6,255,255,94,51,3180,20230105,10,53,787,3,-1,32,635,20230206,5,21,787
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230310T132516Z_20231221T073009Z_L8_30_v1_VEG-DIST-STATUS,20230310,2023-12-21 07:30:09,6,7,89,94,51,2954,20230105,10,53,799,3,9,32,566,20230206,5,21,799
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230311T133831Z_20231221T073030Z_S2A_30_v1_VEG-DIST-STATUS,20230311,2023-12-21 07:30:30,6,255,255,94,51,2954,20230105,10,53,799,3,-1,32,566,20230206,5,21,799
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230313T133149Z_20231221T073050Z_S2B_30_v1_VEG-DIST-STATUS,20230313,2023-12-21 07:30:50,8,6,71,94,51,2757,20230105,10,53,802,7,13,32,531,20230206,5,21,802
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230316T133839Z_20231221T073109Z_S2B_30_v1_VEG-DIST-STATUS,20230316,2023-12-21 07:31:09,8,255,255,94,51,2757,20230105,10,53,802,7,-1,32,531,20230206,5,21,802
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230318T132525Z_20231221T073128Z_L9_30_v1_VEG-DIST-STATUS,20230318,2023-12-21 07:31:28,8,255,255,94,51,2757,20230105,10,53,802,7,-1,32,531,20230206,5,21,802
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230318T133141Z_20231221T073148Z_S2A_30_v1_VEG-DIST-STATUS,20230318,2023-12-21 07:31:48,8,255,255,94,51,2757,20230105,10,53,802,7,-1,32,531,20230206,5,21,802
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230323T133149Z_20231221T073207Z_S2B_30_v1_VEG-DIST-STATUS,20230323,2023-12-21 07:32:07,8,255,255,94,51,2757,20230105,10,53,802,7,-1,32,531,20230206,5,21,802
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230326T132507Z_20231221T073228Z_L8_30_v1_VEG-DIST-STATUS,20230326,2023-12-21 07:32:28,8,0,90,94,51,2757,20230105,10,53,815,7,7,32,531,20230206,5,21,815
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230326T133839Z_20231221T073249Z_S2B_30_v1_VEG-DIST-STATUS,20230326,2023-12-21 07:32:49,8,255,255,94,51,2757,20230105,10,53,815,7,-1,32,531,20230206,5,21,815
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230328T133141Z_20231221T073308Z_S2A_30_v1_VEG-DIST-STATUS,20230328,2023-12-21 07:33:08,8,255,255,94,51,2757,20230105,10,53,815,7,-1,32,531,20230206,5,21,815
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230331T133831Z_20231221T073327Z_S2A_30_v1_VEG-DIST-STATUS,20230331,2023-12-21 07:33:27,8,255,255,94,51,2757,20230105,10,53,815,7,-1,32,531,20230206,5,21,815
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230402T133113Z_20231221T073346Z_L8_30_v1_VEG-DIST-STATUS,20230402,2023-12-21 07:33:46,8,255,255,94,51,2757,20230105,10,53,815,7,-1,32,531,20230206,5,21,815
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230402T133149Z_20231221T073406Z_S2B_30_v1_VEG-DIST-STATUS,20230402,2023-12-21 07:34:06,8,0,90,94,51,2757,20230105,10,53,822,7,4,32,531,20230206,5,21,822
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230403T132515Z_20231221T073425Z_L9_30_v1_VEG-DIST-STATUS,20230403,2023-12-21 07:34:25,8,0,98,94,51,2757,20230105,10,53,823,7,5,32,531,20230206,5,21,823
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230405T133839Z_20231221T073443Z_S2B_30_v1_VEG-DIST-STATUS,20230405,2023-12-21 07:34:43,8,255,255,94,51,2757,20230105,10,53,823,7,-1,32,531,20230206,5,21,823
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230407T133151Z_20231221T073503Z_S2A_30_v1_VEG-DIST-STATUS,20230407,2023-12-21 07:35:03,8,255,255,94,51,2757,20230105,10,53,823,7,-1,32,531,20230206,5,21,823
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230410T133122Z_20231221T073522Z_L9_30_v1_VEG-DIST-STATUS,20230410,2023-12-21 07:35:22,8,255,255,94,51,2757,20230105,10,53,823,7,-1,32,531,20230206,5,21,823
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230410T133841Z_20231221T073540Z_S2A_30_v1_VEG-DIST-STATUS,20230410,2023-12-21 07:35:40,8,255,255,94,51,2757,20230105,10,53,823,7,-1,32,531,20230206,5,21,823
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230411T132451Z_20231221T073559Z_L8_30_v1_VEG-DIST-STATUS,20230411,2023-12-21 07:35:59,8,0,91,94,51,2757,20230105,10,53,831,7,2,32,531,20230206,5,21,831
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230415T133839Z_20231221T073618Z_S2B_30_v1_VEG-DIST-STATUS,20230415,2023-12-21 07:36:18,8,255,255,94,51,2757,20230105,10,53,831,7,-1,32,531,20230206,5,21,831
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230417T133141Z_20231221T073637Z_S2A_30_v1_VEG-DIST-STATUS,20230417,2023-12-21 07:36:37,8,0,89,94,51,2757,20230105,10,53,837,7,7,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230418T133059Z_20231221T073656Z_L8_30_v1_VEG-DIST-STATUS,20230418,2023-12-21 07:36:56,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230419T132508Z_20231221T073715Z_L9_30_v1_VEG-DIST-STATUS,20230419,2023-12-21 07:37:15,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230420T133831Z_20231221T073734Z_S2A_30_v1_VEG-DIST-STATUS,20230420,2023-12-21 07:37:34,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230422T133149Z_20231221T073753Z_S2B_30_v1_VEG-DIST-STATUS,20230422,2023-12-21 07:37:53,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230426T133116Z_20231221T073812Z_L9_30_v1_VEG-DIST-STATUS,20230426,2023-12-21 07:38:12,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230427T133151Z_20231221T073832Z_S2A_30_v1_VEG-DIST-STATUS,20230427,2023-12-21 07:38:32,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230430T133831Z_20231221T073851Z_S2A_30_v1_VEG-DIST-STATUS,20230430,2023-12-21 07:38:51,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230504T133054Z_20231221T073911Z_L8_30_v1_VEG-DIST-STATUS,20230504,2023-12-21 07:39:11,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230510T133831Z_20231221T073931Z_S2A_30_v1_VEG-DIST-STATUS,20230510,2023-12-21 07:39:31,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230512T133106Z_20231221T073949Z_L9_30_v1_VEG-DIST-STATUS,20230512,2023-12-21 07:39:49,8,255,255,94,51,2757,20230105,10,53,837,7,-1,32,531,20230206,5,21,837
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230512T133149Z_20231221T074007Z_S2B_30_v1_VEG-DIST-STATUS,20230512,2023-12-21 07:40:07,8,0,91,94,51,2757,20230105,10,53,862,7,1,32,531,20230206,5,21,862
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230513T132434Z_20231221T074024Z_L8_30_v1_VEG-DIST-STATUS,20230513,2023-12-21 07:40:24,8,255,255,94,51,2757,20230105,10,53,862,7,-1,32,531,20230206,5,21,862
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230515T133839Z_20231221T074041Z_S2B_30_v1_VEG-DIST-STATUS,20230515,2023-12-21 07:40:41,8,255,255,94,51,2757,20230105,10,53,862,7,-1,32,531,20230206,5,21,862
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230517T133151Z_20231221T074058Z_S2A_30_v1_VEG-DIST-STATUS,20230517,2023-12-21 07:40:58,8,0,95,94,51,2757,20230105,10,53,867,7,1,32,531,20230206,5,21,867
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230520T133045Z_20231221T074114Z_L8_30_v1_VEG-DIST-STATUS,20230520,2023-12-21 07:41:14,8,255,255,94,51,2757,20230105,10,53,867,7,-1,32,531,20230206,5,21,867
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230520T133841Z_20231221T074131Z_S2A_30_v1_VEG-DIST-STATUS,20230520,2023-12-21 07:41:31,8,255,255,94,51,2757,20230105,10,53,867,7,-1,32,531,20230206,5,21,867
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230521T132449Z_20231221T074147Z_L9_30_v1_VEG-DIST-STATUS,20230521,2023-12-21 07:41:47,8,255,255,94,51,2757,20230105,10,53,867,7,-1,32,531,20230206,5,21,867
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230522T133149Z_20231221T074204Z_S2B_30_v1_VEG-DIST-STATUS,20230522,2023-12-21 07:42:04,8,255,255,94,51,2757,20230105,10,53,867,7,-1,32,531,20230206,5,21,867
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230527T133151Z_20231221T074222Z_S2A_30_v1_VEG-DIST-STATUS,20230527,2023-12-21 07:42:22,8,0,96,94,51,2757,20230105,10,53,877,7,1,32,531,20230206,5,21,877
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230528T133057Z_20231221T074239Z_L9_30_v1_VEG-DIST-STATUS,20230528,2023-12-21 07:42:39,8,255,255,94,51,2757,20230105,10,53,877,7,-1,32,531,20230206,5,21,877
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230529T132436Z_20231221T074257Z_L8_30_v1_VEG-DIST-STATUS,20230529,2023-12-21 07:42:57,8,0,93,94,51,2757,20230105,10,53,879,7,2,32,531,20230206,5,21,879
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230530T133841Z_20231221T074314Z_S2A_30_v1_VEG-DIST-STATUS,20230530,2023-12-21 07:43:14,8,255,255,94,51,2757,20230105,10,53,879,7,-1,32,531,20230206,5,21,879
OPERA_L3_DIST-ALERT-HLS_T22HBK_20230601T133149Z_20231221T074331Z_S2B_30_v1_VEG-DIST-STATUS,20230601,2023-12-21 07:43:31,8,255,255,94,51,2757,20230105,10,53,879,7,-1,32,531,20230206,5,21,879
